Date,Price,Open,High,Low,Vol.,Change
01/10/2023,156.09,156.47,156.47,156.09,0.40K,0.30%
01/09/2023,155.62,156.38,156.57,151.82,1.58K,-0.49%
01/06/2023,156.38,156.38,156.38,156.28,0.29K,0.06%
01/05/2023,156.28,156.28,156.38,151.82,0.65K,0.43%
01/04/2023,155.62,155.62,156.28,151.35,0.99K,0.00%
01/03/2023,155.62,151.82,156.38,151.82,4.85K,3.80%
12/29/2022,149.92,151.44,151.73,148.98,0.59K,0.89%
12/28/2022,148.6,151.44,151.44,148.5,5.14K,-1.88%
12/27/2022,151.44,148.6,151.44,148.03,3.85K,1.98%
12/22/2022,148.5,148.5,148.5,148.5,0.07K,-2.00%
12/21/2022,151.54,148.12,151.54,148.03,0.95K,-0.13%
12/20/2022,151.73,151.73,151.73,151.73,0.10K,2.50%
12/19/2022,148.03,151.63,151.63,148.03,3.40K,-2.44%
12/16/2022,151.73,148.03,151.73,147.17,0.14K,2.50%
12/15/2022,148.03,146.7,151.16,146.7,2.81K,0.65%
12/14/2022,147.08,147.08,147.08,146.6,7.84K,0.58%
12/13/2022,146.22,151.73,151.73,146.22,2.55K,-3.63%
12/12/2022,151.73,151.73,151.82,151.73,1.35K,0.00%
12/09/2022,151.73,151.73,151.82,151.73,0.25K,2.57%
12/07/2022,147.93,150.87,151.82,147.93,1.35K,-1.33%
12/06/2022,149.92,148.03,149.92,147.08,4.47K,1.28%
12/05/2022,148.03,151.82,151.82,148.03,1.07K,-2.50%
12/02/2022,151.82,147.55,151.82,146.41,1.76K,3.23%
12/01/2022,147.08,148.03,148.03,147.08,12.73K,0.00%
11/29/2022,147.08,149.83,149.83,147.08,2.19K,-1.90%
11/28/2022,149.92,148.98,149.92,147.46,1.12K,1.80%
11/25/2022,147.27,147.27,147.27,147.27,0.01K,0.78%
11/24/2022,146.13,149.64,149.64,146.13,1.95K,-2.41%
11/23/2022,149.74,147.08,149.74,147.08,0.53K,1.81%
11/22/2022,147.08,148.98,148.98,147.08,21.23K,-1.27%
11/21/2022,148.98,149.83,149.83,148.98,1.80K,-0.63%
11/18/2022,149.92,149.83,149.92,149.83,27.69K,0.38%
11/17/2022,149.36,149.83,149.83,148.03,0.81K,-0.32%
11/16/2022,149.83,149.83,149.83,149.83,3.12K,0.00%
11/15/2022,149.83,149.92,149.92,148.98,0.61K,0.06%
11/14/2022,149.74,153.72,153.72,148.98,15.48K,0.45%
11/11/2022,149.07,149.92,149.92,149.07,2.84K,-0.57%
11/10/2022,149.92,151.82,151.82,148.98,1.09K,-1.25%
11/09/2022,151.82,153.72,153.72,150.87,1.53K,-2.62%
11/08/2022,155.9,156.47,156.47,155.9,0.12K,1.42%
11/07/2022,153.72,151.82,153.72,151.82,1.26K,1.25%
11/04/2022,151.82,150.87,156.47,149.07,0.72K,0.63%
11/03/2022,150.87,148.6,157.71,148.6,0.15K,1.53%
11/02/2022,148.6,155.62,155.62,148.6,0.50K,-5.09%
10/28/2022,156.57,156.57,156.57,151.82,0.17K,-0.78%
10/27/2022,157.8,159.22,159.22,157.8,0.02K,3.94%
10/26/2022,151.82,150.87,156.57,150.87,58.79K,1.59%
10/25/2022,149.45,148.98,149.92,148.98,40.90K,-1.50%
10/24/2022,151.73,151.82,151.82,151.73,0.83K,-0.06%
10/21/2022,151.82,156.57,156.57,151.35,19.81K,-5.16%
10/20/2022,160.08,151.82,160.17,147.93,18.77K,5.44%
10/19/2022,151.82,151.82,151.82,151.82,0.16K,0.00%
10/18/2022,151.82,151.82,151.82,151.82,0.48K,0.06%
10/17/2022,151.73,151.82,151.82,151.73,0.18K,0.00%
10/14/2022,151.73,151.82,151.82,151.73,0.37K,-0.06%
10/13/2022,151.82,147.17,151.82,147.17,6.20K,0.00%
10/12/2022,151.82,151.63,151.82,147.65,6.55K,0.13%
10/11/2022,151.63,147.08,151.63,147.08,0.15K,3.10%
10/10/2022,147.08,148.98,148.98,147.08,7.63K,0.00%
