Date,Price,Open,High,Low,Vol.,Change
10/11/2024,185.6,186,186,185.6,0.88K,-1.80%
10/10/2024,189,190,190,186,1.23K,1.61%
10/09/2024,186,184,194.9,180,4.73K,1.09%
10/08/2024,184,188.5,188.5,180,1.02K,-2.39%
10/07/2024,188.5,184,188.8,184,1.85K,1.89%
10/04/2024,185,181,189,180,3.84K,2.21%
10/03/2024,181,180,181,180,0.53K,-0.55%
10/02/2024,182,182,182.1,182,1.32K,0.00%
10/01/2024,182,179,182,179,0.64K,1.68%
09/30/2024,179,177.6,180,177.6,1.09K,0.79%
09/27/2024,177.6,186,189,177.5,0.21K,0.34%
09/26/2024,177,177,190,177,35.07K,0.00%
09/25/2024,177,177,177.2,176.5,0.86K,0.00%
09/24/2024,177,177.2,177.2,177,5.82K,-0.11%
09/23/2024,177.2,177.2,177.2,177,1.74K,0.68%
09/20/2024,176,177,177.2,176,4.70K,-0.56%
09/19/2024,177,176.4,177.1,176.4,1.35K,1.43%
09/18/2024,174.5,176,176.6,174,2.23K,0.17%
09/17/2024,174.2,176.4,176.4,174.1,3.90K,-1.25%
09/16/2024,176.4,176,176.9,175.3,1.10K,1.38%
09/13/2024,174,174.8,175.3,170,11.60K,2.35%
09/12/2024,170,176,176,170,11.52K,-1.73%
09/11/2024,173,173.5,177,171,0.46K,-0.29%
09/10/2024,173.5,177,177.2,173.5,2.36K,0.29%
09/09/2024,173,170.2,177.1,170.2,0.62K,-1.70%
09/06/2024,176,174,176.6,170.1,5.04K,1.73%
09/05/2024,173,171,173.9,171,0.19K,1.17%
09/04/2024,171,171,177,171,0.47K,0.00%
09/03/2024,171,177.3,177.3,171,0.94K,0.06%
09/02/2024,170.9,171,177,170.6,1.72K,0.23%
08/30/2024,170.5,177.9,177.9,170.5,0.37K,-0.06%
08/29/2024,170.6,170.1,178,170.1,2.19K,-0.23%
08/28/2024,171,178.5,178.5,171,6.24K,-0.58%
08/27/2024,172,178.5,178.5,171.5,1.37K,0.29%
08/22/2024,171.5,172,178.5,171.4,1.96K,0.06%
08/21/2024,171.4,173,180,171.4,4.25K,-0.35%
08/20/2024,172,180,180,172,3.22K,-2.82%
08/19/2024,177,181,182,176,3.04K,-2.21%
08/16/2024,181,180,181,179,1.14K,0.56%
08/15/2024,180,179.9,180,179.9,0.40K,2.27%
08/14/2024,176,180,180,176,1.61K,-1.68%
08/13/2024,179,178,180.5,178,0.12K,0.56%
08/12/2024,178,185,185,178,1.77K,-3.78%
08/09/2024,185,180,185,180,0.33K,0.54%
08/08/2024,184,178,184,178,0.56K,2.22%
08/07/2024,180,182,182,180,0.26K,0.00%
08/06/2024,180,175,180,172,1.97K,2.86%
08/05/2024,175,172,180,172,1.36K,1.74%
08/02/2024,172,180,184,170,32.72K,-3.37%
08/01/2024,178,180,180,177.7,1.30K,-0.56%
07/31/2024,179,183.9,183.9,179,0.71K,-0.56%
07/30/2024,180,183.3,184,180,1.47K,-2.17%
07/29/2024,184,187,187,184,3.21K,-1.55%
07/26/2024,186.9,187,190,185.1,0.65K,-1.63%
07/25/2024,190,190,190,189,1.02K,0.00%
07/23/2024,190,190,190,189.6,0.14K,0.00%
07/22/2024,190,190,190,190,0.37K,0.53%
07/19/2024,189,189,189,188,1.25K,0.53%
07/18/2024,188,189,190.5,188,0.93K,-1.83%
07/17/2024,191.5,189,191.5,189,0.26K,-0.26%
07/16/2024,192,192.5,192.5,189,0.52K,-0.26%
07/15/2024,192.5,195,195,190,1.16K,1.32%
07/12/2024,190,189.1,195,189.1,100.54K,0.48%
07/11/2024,189.1,189.9,190,189.1,0.24K,0.05%
07/10/2024,189,191,191,189,1.12K,-1.05%
07/09/2024,191,195,195,191,6.16K,-2.05%
07/08/2024,195,195,195,194,0.34K,0.52%
07/05/2024,194,194,194,194,0.55K,0.52%
07/04/2024,193,193,193,193,0.69K,1.58%
07/03/2024,190,192,192,189,0.55K,-1.55%
07/02/2024,193,193,193,193,1.64K,0.00%
07/01/2024,193,193,193,193,0.32K,0.00%
06/28/2024,193,193,193,190,32.76K,1.05%
06/27/2024,191,191,191,191,22.65K,0.53%
06/26/2024,190,191,191,190,25.57K,-0.52%
06/25/2024,191,191.1,194.9,191,1.75K,0.00%
06/24/2024,191,195,195,191,0.36K,-2.05%
06/21/2024,195,195,195,189.4,1.21K,0.00%
06/20/2024,195,194,195,194,0.83K,0.00%
06/19/2024,195,194,195,194,1.31K,3.07%
06/18/2024,189.2,195,195,189,3.67K,-2.97%
06/14/2024,195,195,196,194,0.71K,0.52%
06/13/2024,194,195,195,194,0.04K,-0.51%
06/11/2024,195,193,195,193,0.82K,0.00%
06/10/2024,195,197.9,198,194,0.72K,-1.52%
06/07/2024,198,198,198,198,0.10K,4.76%
06/06/2024,189,194.1,194.1,189,1.06K,-2.07%
06/05/2024,193,193,193,193,0.16K,-1.53%
06/04/2024,196,194.1,196,194.1,1.16K,1.03%
06/03/2024,194,195,195,194,1.14K,0.52%
05/31/2024,193,201,201,192,8.62K,-3.98%
05/30/2024,201,201.8,204,201,46.57K,1.52%
05/29/2024,198,194,198,194,0.40K,2.59%
05/28/2024,193,194,195.1,191.9,0.67K,-1.08%
05/27/2024,195.1,195,201.8,195,0.65K,0.05%
05/24/2024,195,201,201,195,0.46K,-2.99%
05/23/2024,201,201,201,200,1.06K,0.00%
05/22/2024,201,202,202,201,1.85K,0.00%
05/21/2024,201,198.5,202,195,5.43K,1.26%
05/20/2024,198.5,199,200,198.5,1.17K,-0.25%
05/17/2024,199,199.5,200,199,1.68K,-0.25%
05/16/2024,199.5,199,199.8,198,1.27K,0.76%
05/15/2024,198,199,199,197,17.78K,0.51%
05/14/2024,197,196,197,193,0.42K,0.51%
05/13/2024,196,197,197,196,0.47K,1.55%
05/10/2024,193,195.1,196,193,2.49K,-0.52%
05/09/2024,194,197,197,194,0.66K,-0.51%
05/08/2024,195,195,197,195,0.62K,-0.51%
05/07/2024,196,197,197,194,1.40K,-0.51%
05/06/2024,197,196.9,197,196.9,1.79K,0.05%
05/03/2024,196.9,191,198,191,4.85K,3.09%
05/02/2024,191,195,198,191,0.30K,-2.05%
04/30/2024,195,193.9,198,193.9,3.75K,1.88%
04/29/2024,191.4,193,193.3,191.4,2.54K,-0.83%
04/26/2024,193,193.5,193.5,189.5,0.08K,-0.26%
04/25/2024,193.5,188.9,193.5,188.9,0.65K,2.44%
04/24/2024,188.9,193.6,193.6,188.9,7.05K,-2.43%
04/23/2024,193.6,193.6,193.6,190,77.18K,0.31%
04/22/2024,193,190,193,190,11.67K,2.17%
04/19/2024,188.9,188.9,192,188.9,13.75K,1.50%
04/18/2024,186.1,193.7,193.7,186,13.47K,-1.53%
04/17/2024,189,189,189,188.9,4.40K,0.05%
04/16/2024,188.9,189,189,188,1.44K,-0.05%
04/15/2024,189,188.3,189,188.3,0.92K,0.00%
04/12/2024,189,190.5,191,189,5.77K,-0.79%
04/11/2024,190.5,192,192,190,1.63K,0.85%
04/08/2024,188.9,190,190.5,188.9,4.46K,-0.58%
04/05/2024,190,190,190,190,0.41K,0.90%
04/04/2024,188.3,188,188.3,186,0.12K,-0.89%
04/03/2024,190,189,190,189,0.97K,0.53%
04/02/2024,189,190,191,189,2.45K,-0.53%
04/01/2024,190,193.5,193.7,190,1.01K,-1.50%
03/27/2024,192.9,193.7,193.7,190,1.32K,-0.36%
03/26/2024,193.6,190,193.6,190,0.41K,2.43%
03/25/2024,189,192.9,193.1,189,0.81K,-0.53%
03/22/2024,190,188,190,188,25.12K,2.59%
03/21/2024,185.2,189.6,190,185,25.58K,-2.32%
03/20/2024,189.6,192,193,189.6,1.85K,-1.15%
03/19/2024,191.8,192,192,191,0.54K,-0.10%
03/18/2024,192,190,192,189,5.28K,1.05%
03/15/2024,190,192,192,190,0.16K,-1.04%
03/14/2024,192,188.7,194.9,186,2.76K,1.80%
03/13/2024,188.6,188,193,188,2.84K,0.32%
03/12/2024,188,191,191,183.1,1.94K,-1.57%
03/11/2024,191,195,195,180,0.78K,-2.05%
03/08/2024,195,195,195,194,2.27K,0.00%
03/07/2024,195,198,198,185,2.20K,-0.28%
03/06/2024,195.55,195.65,195.65,193.69,4.14K,-0.05%
03/05/2024,195.65,193.69,195.65,192.71,6.07K,1.01%
03/04/2024,193.69,189.78,193.69,188.7,71.53K,1.54%
03/01/2024,190.76,189.78,191.64,188.9,1.75K,0.52%
02/29/2024,189.78,189.78,190.76,189.58,0.67K,0.10%
02/28/2024,189.58,189.29,189.78,188.9,1.34K,0.41%
02/27/2024,188.8,189.29,189.29,188.8,4.05K,-0.26%
02/26/2024,189.29,186.84,189.29,186.84,2.21K,0.00%
02/23/2024,189.29,186.45,189.39,186.45,3.91K,1.57%
02/22/2024,186.35,183.32,186.84,183.32,5.73K,1.44%
02/21/2024,183.71,185.77,185.77,183.71,0.02K,2.62%
02/20/2024,179.02,184.89,184.89,179.02,1.36K,-3.53%
02/19/2024,185.57,185.77,185.77,180.97,1.34K,1.07%
02/16/2024,183.62,184.59,184.59,183.62,4.45K,-0.53%
02/15/2024,184.59,184.89,184.89,181.07,2.91K,-0.16%
02/14/2024,184.89,185.38,185.38,184.89,0.03K,0.00%
02/13/2024,184.89,183.91,185.77,182.93,2.39K,0.53%
02/12/2024,183.91,179.12,185.77,179.12,5.91K,2.68%
02/08/2024,179.12,184.3,184.3,179.12,0.20K,1.72%
02/07/2024,176.08,183.71,185.87,176.08,1.93K,-2.17%
02/06/2024,180,183.91,185.77,176.08,11.99K,-2.08%
02/05/2024,183.81,180.29,185.87,171.19,31.71K,-1.11%
02/02/2024,185.87,182.93,185.87,178.04,2.07K,1.50%
02/01/2024,183.13,185.87,185.87,167.28,2.56K,-0.95%
01/31/2024,184.89,184.89,185.87,184.89,0.12K,0.00%
01/30/2024,184.89,180,184.89,179.02,0.63K,2.72%
01/29/2024,180,180,180.97,180,1.19K,-0.54%
01/26/2024,180.97,186.75,186.75,180.97,0.34K,0.54%
01/25/2024,180,186.75,186.84,180,14.63K,-3.61%
01/24/2024,186.75,175.69,187.04,175.69,10.05K,6.29%
01/23/2024,175.69,173.64,175.69,173.34,2.21K,1.47%
01/22/2024,173.15,173.15,173.34,173.15,1.06K,0.00%
01/19/2024,173.15,173.15,173.15,173.15,0.10K,0.00%
01/18/2024,173.15,172.17,173.15,172.17,12.68K,0.06%
01/17/2024,173.05,173.83,173.93,172.17,38.45K,1.67%
01/16/2024,170.21,173.25,174.13,170.21,0.73K,-1.75%
01/15/2024,173.25,173.54,174.13,173.25,1.03K,-0.06%
01/12/2024,173.34,174.52,175.69,173.34,0.76K,-0.67%
01/11/2024,174.52,174.52,174.52,174.52,0.16K,0.00%
01/10/2024,174.52,174.13,174.52,174.13,0.42K,0.22%
01/09/2024,174.13,174.13,174.13,173.15,0.94K,-1.06%
01/08/2024,175.99,173.93,176.08,173.93,1.31K,1.18%
01/05/2024,173.93,172.56,173.93,171.19,4.33K,1.02%
01/04/2024,172.17,173.05,173.05,171.29,2.62K,-0.56%
01/03/2024,173.15,172.95,173.15,167.77,0.15K,0.11%
01/02/2024,172.95,171.49,172.95,167.38,2.67K,4.00%
12/29/2023,166.3,167.28,167.28,166.3,0.02K,-3.08%
12/28/2023,171.58,171.58,171.58,171,5.10K,3.06%
12/27/2023,166.5,171.19,171.19,166.5,0.36K,-2.74%
12/22/2023,171.19,171.19,171.19,171.19,0.23K,0.11%
12/21/2023,171,169.24,171,169.24,2.10K,1.63%
12/20/2023,168.26,170.31,170.9,168.26,8.15K,-2.49%
12/19/2023,172.56,170.41,172.56,170.21,2.71K,0.80%
12/18/2023,171.19,171.19,172.17,170.41,0.32K,0.00%
12/15/2023,171.19,171.19,171.19,168.75,0.60K,0.00%
12/14/2023,171.19,171.19,171.19,168.26,5.21K,0.29%
12/13/2023,170.7,168.26,170.7,168.26,8.83K,1.45%
12/12/2023,168.26,167.38,170.21,167.38,5.76K,0.53%
12/11/2023,167.38,169.14,169.14,167.38,0.03K,-0.52%
12/07/2023,168.26,168.26,168.26,168.26,0.38K,2.38%
12/06/2023,164.34,164.34,168.16,164.34,3.93K,0.00%
12/05/2023,164.34,169.14,169.14,164.34,2.15K,-2.83%
12/04/2023,169.14,163.37,169.14,163.37,0.81K,1.11%
12/01/2023,167.28,168.26,168.26,167.28,1.94K,1.79%
11/30/2023,164.34,165.32,166.79,164.34,0.39K,-1.75%
11/29/2023,167.28,168.26,168.26,165.81,5.55K,-0.58%
11/28/2023,168.26,167.28,170.21,167.28,0.75K,0.58%
11/24/2023,167.28,167.28,167.28,167.28,0.10K,0.59%
11/23/2023,166.3,172.17,172.17,166.3,10.72K,-2.86%
11/22/2023,171.19,166.3,171.19,166.3,0.25K,2.94%
11/21/2023,166.3,166.3,166.3,166.3,0.04K,-2.86%
11/20/2023,171.19,171.19,171.19,171.19,6.07K,0.29%
11/17/2023,170.7,170.7,170.7,170.7,0.27K,-0.23%
11/16/2023,171.09,166.3,171.19,166.3,0.16K,2.88%
11/15/2023,166.3,170.12,170.21,166.3,3.16K,0.00%
11/14/2023,166.3,167.77,167.77,166.3,0.51K,-2.30%
11/13/2023,170.21,170.21,170.21,167.77,0.66K,-0.29%
11/10/2023,170.7,171,171,170.7,0.05K,0.29%
11/09/2023,170.21,170.21,170.21,170.21,0.01K,0.00%
11/07/2023,170.21,170.02,171.19,170.02,4.44K,0.00%
11/06/2023,170.21,170.02,170.21,170.02,4.33K,0.00%
11/03/2023,170.21,166.3,171.09,166.3,0.97K,2.96%
10/31/2023,165.32,166.3,167.28,165.32,2.00K,-0.59%
10/26/2023,166.3,166.2,166.3,162.88,1.91K,0.59%
10/25/2023,165.32,168.26,168.26,165.32,0.80K,-1.74%
10/24/2023,168.26,171.19,171.19,168.26,0.45K,-1.60%
10/23/2023,171,170.21,171.19,170.21,0.21K,0.46%
10/20/2023,170.21,171.19,171.39,170.21,2.89K,-0.57%
10/19/2023,171.19,173.15,173.64,171.19,4.32K,0.29%
10/18/2023,170.7,172.85,172.95,170.7,2.86K,-0.29%
10/17/2023,171.19,171.19,171.19,170.31,1.89K,0.00%
10/16/2023,171.19,171.19,173.05,171.19,1.57K,0.00%
10/13/2023,171.19,170.7,173.05,170.7,2.63K,-1.07%
10/12/2023,173.05,170.7,173.15,170.7,2.55K,1.61%
10/11/2023,170.31,173.15,173.74,170.21,1.91K,-1.64%
10/10/2023,173.15,172.37,173.15,170.21,1.74K,0.34%
10/09/2023,172.56,172.56,173.93,172.56,0.39K,0.00%
10/06/2023,172.56,173.15,173.93,171.19,16.15K,0.80%
